lecNumber,lecClassName,연계,lecClassification,lecCredit,lecWeekHours,lecProfessor,lecTime,others,연계전공,분반_원본,외국인재학생,국내재학생,체육특기자,재수강용,타학과수강불가,학년,분반_최종
0000-1-8128-01,광운인되기,,교필,1,1,김정권,,"원격수업100,융합강의 1학기 또는 2학기 이수",,외국인학생 수강불가,False,True,,,,,
0000-1-8128-02,광운인되기,,교선,1,1,한재현,금2,외국인전용,,외국인만 수강가능,True,False,,,,,
I000-1-3362-01,대학영어,,교필,3,3,이진영,"월1,수2",,,"인공지능 융합대학 공통
(C1~C9,J5~J8)",,,,,,,"C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8"
I000-1-3362-02,대학영어,,교필,3,3,손영희,"월2,수1",,,,,,,,,,
I000-1-3362-03,대학영어,,교필,3,3,오경애,"월3,수4",,,,,,,,,,
I000-1-3362-04,대학영어,,교필,3,3,오경애,"월4,수3",,,,,,,,,,
I000-1-3362-05,대학영어,,교필,3,3,고현아,"월5,수6",,,,,,,,,,
I000-1-3362-06,대학영어,,교필,3,3,고현아,"월6,수5",,,,,,,,,,
I000-1-3362-07,대학영어,,교필,3,3,유선영,"화1,목2",,,,,,,,,,
I000-1-3362-08,대학영어,,교필,3,3,김은주,"화2,목1",,,,,,,,,,
I000-1-3362-09,대학영어,,교필,3,3,신승한,"화3,목4",,,,,,,,,,
I000-1-3362-10,대학영어,,교필,3,3,신승한,"화4,목3",,,,,,,,,,
I000-1-3362-11,대학영어,,교필,3,3,정지수,"화5,목6",,,,,,,,,,
I000-1-3362-12,대학영어,,교필,3,3,정지수,"화6,목5",,,,,,,,,,
I000-1-3362-13,대학영어,,교필,3,3,목승혜,"금1,2",,,,,,,,,,
I000-1-3362-14,대학영어,,교필,3,3,김연정,"금3,4",,,,,,,,,,
1000-1-3362-01,대학영어,,교필,3,3,조성은,"월3,수4",,,"공과대학 공통
(A1~A2,K1~K3)",,,,,,,"A1,A2,K1,K2,K3"
1000-1-3362-02,대학영어,,교필,3,3,손가연,"화1,목2",,,,,,,,,,
1000-1-3362-03,대학영어,,교필,3,3,손가연,"화2,목1",,,,,,,,,,
1000-1-3362-04,대학영어,,교필,3,3,오경애,"화3,목4",,,,,,,,,,
1000-1-3362-05,대학영어,,교필,3,3,정지수,"화4,목3",,,,,,,,,,
1000-1-3362-06,대학영어,,교필,3,3,박용준,"화6,목5",,,,,,,,,,
3000-1-3362-01,대학영어,,교필,3,3,박소현,"월1,수2",,,"인문사회 과학대학 공통
(R1~R5,M1~M2)",,,,,,,"M1,M2,R1,R2,R3,R4,R5"
3000-1-3362-02,대학영어,,교필,3,3,박미경,"월2,수1",,,,,,,,,,
3000-1-3362-03,대학영어,,교필,3,3,유수진,"월3,수4",,,,,,,,,,
3000-1-3362-04,대학영어,,교필,3,3,이현경,"월4,수3",,,,,,,,,,
3000-1-3362-05,대학영어,,교필,3,3,최정윤,"월5,수6",,,,,,,,,,
3000-1-3362-06,대학영어,,교필,3,3,이종국,"월6,수5",,,,,,,,,,
3000-1-3362-07,대학영어,,교필,3,3,김지희,"금3,4",,,,,,,,,,
3000-1-3362-08,대학영어,,교필,3,3,고현아,"금5,6",,,,,,,,,,
5000-1-3362-01,대학영어,,교필,3,3,방승희,"월1,수2",,,"경영대학 공통
(B1~B6)",,,,,,,"B1,B2,B3,B4,B5,B6"
5000-1-3362-02,대학영어,,교필,3,3,김주연,"월2,수1",,,,,,,,,,
5000-1-3362-03,대학영어,,교필,3,3,김경옥,"화3,목4",,,,,,,,,,
5000-1-3362-04,대학영어,,교필,3,3,조윤주,"화4,목3",,,,,,,,,,
5000-1-3362-05,대학영어,,교필,3,3,강희원,"화5,목6",,,,,,,,,,
5000-1-3362-06,대학영어,,교필,3,3,정관희,"화6,목5",,,,,,,,,,
5000-1-3362-07,대학영어,,교필,3,3,김보식,"금3,4",,,,,,,,,,
0000-1-3362-01,대학영어,,교선,3,3,이지혜,"금1,2",외국인전용,,외국인만 수강가능,True,False,,,,,
7000-1-3095-01,융합적사고와글쓰기,,교필,3,3,유승호,"월1,수2",,,"전자정보 공과대학 공통
(E1~E8,J1~J4, T1~T2)",,,,,,,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2"
7000-1-3095-02,융합적사고와글쓰기,,교필,3,3,안웅선,"월2,수1",,,,,,,,,,
7000-1-3095-03,융합적사고와글쓰기,,교필,3,3,손미영,"월3,수4",,,,,,,,,,
7000-1-3095-04,융합적사고와글쓰기,,교필,3,3,손미영,"월4,수3",,,,,,,,,,
7000-1-3095-05,융합적사고와글쓰기,,교필,3,3,정재훈,"월5,수6",,,,,,,,,,
7000-1-3095-06,융합적사고와글쓰기,,교필,3,3,김승래,"월6,수5",,,,,,,,,,
7000-1-3095-07,융합적사고와글쓰기,,교필,3,3,김학현,"화1,목2",,,,,,,,,,
7000-1-3095-08,융합적사고와글쓰기,,교필,3,3,김광섭,"화2,목1",,,,,,,,,,
7000-1-3095-09,융합적사고와글쓰기,,교필,3,3,조영복,"화3,목4",,,,,,,,,,
7000-1-3095-10,융합적사고와글쓰기,,교필,3,3,허진혁,"화4,목3",,,,,,,,,,
7000-1-3095-11,융합적사고와글쓰기,,교필,3,3,김문정,"화5,목6",,,,,,,,,,
7000-1-3095-12,융합적사고와글쓰기,,교필,3,3,이은란,"화6,목5",,,,,,,,,,
7000-1-3095-13,융합적사고와글쓰기,,교필,3,3,이은경,"금1,2",,,,,,,,,,
7000-1-3095-14,융합적사고와글쓰기,,교필,3,3,정영호,"금3,4",,,,,,,,,,
7000-1-3095-15,융합적사고와글쓰기,,교필,3,3,박보름,"금5,6",,,,,,,,,,
7000-1-3095-16,융합적사고와글쓰기,,교필,3,3,전도현,"월4,수3",,,,,,,,,,
7000-1-3095-17,융합적사고와글쓰기,,교필,3,3,김영범,"금3,4",,,,,,,,,,
6000-1-3095-01,융합적사고와글쓰기,,교필,3,3,추선진,"월6,수5",,,"자연과학대학 공통
(N1~N5,P1)",,,,,,,"N1,N2,N3,N4,N5,P1"
6000-1-3095-02,융합적사고와글쓰기,,교필,3,3,소유정,"화5,목6",,,,,,,,,,
6000-1-3095-03,융합적사고와글쓰기,,교필,3,3,이혜정,"화6,목5",,,,,,,,,,
6000-1-3095-04,융합적사고와글쓰기,,교필,3,3,손미영,"금1,2",,,,,,,,,,
6000-1-3095-05,융합적사고와글쓰기,,교필,3,3,,"금3,4",,,,,,,,,,
6000-1-3095-06,융합적사고와글쓰기,,교필,3,3,정우신,"금5,6",,,,,,,,,,
F000-1-3095-01,융합적사고와글쓰기,,교필,3,3,신현규,"월2,수1",,,"정책법학대학 공통 (S1~S3,L1~L3)",,,,,,,"L1,L2,L3,S1,S2,S3"
F000-1-3095-02,융합적사고와글쓰기,,교필,3,3,김민지,"월3,수4",,,,,,,,,,
F000-1-3095-03,융합적사고와글쓰기,,교필,3,3,우채리,"월5,수6",,,,,,,,,,
F000-1-3095-04,융합적사고와글쓰기,,교필,3,3,차선일,"월6,수5",,,,,,,,,,
F000-1-3095-05,융합적사고와글쓰기,,교필,3,3,이미진,"화1,목2",,,,,,,,,,
F000-1-3095-06,융합적사고와글쓰기,,교필,3,3,김주상,"화2,목1",,,,,,,,,,
F000-1-3095-07,융합적사고와글쓰기,,교필,3,3,신제원,"화6,목5",,,,,,,,,,
0000-1-3095-01,융합적사고와글쓰기,,교선,3,3,최수현,"목5,6",외국인전용,,외국인만 수강가능,True,False,,,,,
7060-1-7408-01,C프로그래밍응용,,교필,3,3,조영진,"화1,목2",,,전자(E1),,,,,,,E1
7060-1-7408-02,C프로그래밍응용,,교필,3,3,조수영,"화2,목1",,,전자(E2),,,,,,,E2
7060-1-7408-03,C프로그래밍응용,,교필,3,3,서창옥,"화3,목4",,,전자(E3),,,,,,,E3
7060-1-7408-04,C프로그래밍응용,,교필,3,3,서창옥,"화4,목3",,,전자(E4),,,,,,,E4
7070-1-7408-01,C프로그래밍응용,,교필,3,3,박상준,화3,"영어50,원격수업50이상",,전통(E5),,,,,,,E5
7070-1-7408-02,C프로그래밍응용,,교필,3,3,박상준,목3,"영어50,원격수업50이상",,전통(E6),,,,,,,E6
7420-1-7408-01,C프로그래밍응용,,교필,3,3,고철영,"월1,수2",,,전융(E7),,,,,,,E7
7420-1-7408-02,C프로그래밍응용,,교필,3,3,고철영,"월2,수1",,,전융(E8),,,,,,,E8
7320-1-7408-01,C프로그래밍응용,,교필,3,3,이건영,"금3,4",,,전기(J1),,,,,,,J1
7320-1-7408-02,C프로그래밍응용,,교필,3,3,이도환,"월5,수6",,,전기(J2),,,,,,,J2
7340-1-7408-01,C프로그래밍응용,,교필,3,3,황치곤,"월5,수6",,,전재(J3),,,,,,,J3
7340-1-7408-02,C프로그래밍응용,,교필,3,3,노현아,"금1,2",,,전재(J4),,,,,,,J4
7460-1-7408-01,C프로그래밍응용,,교필,3,3,서창옥,"월6,수5",,,반도체(T1),,,,,,,T1
7460-1-7408-02,C프로그래밍응용,,교필,3,3,이찬수,"금5,6",,,반도체(T2),,,,,,,T2
I050-1-7408-01,C프로그래밍응용,,교필,3,3,고철영,"월3,수4",,,로봇(J5),,,,,,,J5
I050-1-7408-02,C프로그래밍응용,,교필,3,3,박재철,"월4,수3",,,로봇(J6),,,,,,,J6
I050-1-7408-03,C프로그래밍응용,,교필,3,3,남기현,"월6,수5",,,로봇(J7),,,,,,,J7
I050-1-7408-04,C프로그래밍응용,,교필,3,3,조영진,"화2,목1",,,로봇(J8),,,,,,,J8
I020-1-4432-01,인공지능과컴퓨팅사고,,교필,3,3,유지현,"월3,수4",,,컴정(C1~C3),,,,,,,"C1,C2,C3"
I030-1-4432-01,인공지능과컴퓨팅사고,,교필,3,3,이준혁,"월4,수3",,,소프트(C4),,,,,,,C4
I030-1-4432-02,인공지능과컴퓨팅사고,,교필,3,3,,"월5,수6",,,소프트(C5),,,,,,,C5
I030-1-4432-03,인공지능과컴퓨팅사고,,교필,3,3,김우생,"화1,목2",,,소프트(C6),,,,,,,C6
I040-1-4432-01,인공지능과컴퓨팅사고,,교필,3,3,,"금1,2",,,정융(C7~C9),,,,,,,"C7,C8,C9"
