학정번호,과목명,분반,연계,이수,학점,시수,담당교수,"강의시간 (요일,교시)",강의유형
0000-1-3093-01,한국영화사로보는가족,,,교선,3,3,강성률,"금7,8",원격수업100?
0000-1-4428-01,디지털신기술기반신재생에너지,,,교선,3,3,손희상,"화7,8",원격수업100?
0000-1-4430-01,"슬기로운가정생활,관계놀이",,,교선,3,3,최윤희 윤란호,"목8,9","원격수업100,팀티칭강의"
0000-1-4430-02,"슬기로운가정생활,관계놀이",외국인만 수강가능,,교선,3,3,최윤희 윤란호,"목8,9","원격수업101,팀티칭강의,외국인전 용"
0000-1-4431-01,ICT가바꾸는미래의법,,,교선,3,3,선지원,"화5,6",원격수업100?
0000-1-4848-01,현대중국예술과문화코드이해,,,교선,3,3,전보옥,"월7,8",원격수업100?
0000-1-4849-01,배터리신기술과우리의생활,,,교선,3,3,손희상,"목7,8",원격수업100?
0000-1-4850-01,수학적사고로보는세상,,,교선,3,3,최종성,"수7,8",원격수업100?
0000-3-9747-01,안전및조직관리사례연구,,,무관,3,4,,"화1,2,목1,2",
0000-4-9748-01,조직리더십사례연구,,,무관,3,4,,"화1,2,목1,2",
0000-1-3675-01,외국인학생을위한기초수학,외국인만 수강가능,,교선,3,3,최현옥,"금1,2",외국인전용
