Unnamed: 0,순번,yaer,semester,lecTheme,lecClassification,lecName,lecCredit,lecProfessor,percentageOfOnline,canTakeBunBan,majorRecogBunBan,이러닝_담당교수,lecNumber,Overview,representCompetency,learningGoalNmethod,출석,중간고사,기말고사,과제보고서,수업태도,Quiz,기타1,isTBL,isPBL,isSeminar,isSmall,isConvergence,isTeamTeaching,canTakeForeignPeople,isELearning,isExperimentDesign,isFocus,experimentPracticals,foreignLanguage,isArt,error,lecClassroom,lecTime,lecWeekTime,evaluationRatio
0.0,1.0,24.0,여름학기,정보,교필,C프로그래밍,3.0,정진범,,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-1-0019-01,대표적인 프로그래밍 언어인 C 프로그래밍 언어의 문법과 기초적인 프로그램 작성법을 학습한다,,"C언어의 기초 명령을 습득한다.
C언어를 통한 알고리즘을 이해하고 활용한다.
이론 강의와 함께 예제 프로그램을 통한 실습을 통해 프로그램 개발 능력을 향상시킨다.",20.0,30.0,30.0,15.0,5.0,0.0,0.0,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,연구204,"(1:1),(1:2),(2:1),(2:2),(3:1),(3:2),(4:1),(4:2)",12.0,"20.0,30.0,30.0,15.0,5.0,0.0,0.0"
1.0,2.0,24.0,여름학기,글로벌문화와제2외국어,교선,초급중국어1,3.0,곡효운,100.0,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-1-2950-01,본 과목은 100프로 온라인 강의로 중국어를 처음으로 접하는 학생들에게 기초 중국어 회화를 진행하는 강의이다. 이와 함께 중국어 쓰기 듣기 말하기 읽기까지 같이 훈련되는 과목이다.,,1. 중국어란　무엇인가에　대한　기본　소양과 자질을 갖도록 한다.2. 기초중국어회화를 할 수 있게 한다．3. 중국어　학습을　통해　중국　문화에　대해서도　이해하도록　한다，　4. 중국과　중국어에　대한　흥미를　느끼게　한다．5. 중국　전문가　되고자　하는　학생들이　가장　기본적인　기초　지식을　습득하게　된다．,20.0,30.0,40.0,10.0,0.0,0.0,0.0,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,미지정,(6:1),3.0,"20.0,30.0,40.0,10.0,0.0,0.0,0.0"
2.0,3.0,24.0,여름학기,글로벌문화와제2외국어,교선,일본애니메이션과문화,3.0,유양근,87.0,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-1-7363-01,다양한 장르의 일본 애니메이션을 소개하고 이를 바탕으로 그 속에 담겨있는 일본문화의 양상들을 제시하며 자연스럽게 일본 드라마나 영화 만화 등 연관 매체들과의 관련성을 토론하고 우리나라 문화와의 유사성과 차이점을 스스로 도출할 수 있도록 한다.,,본 강좌는 일본 애니메이션을 통해 일본 사회와 문화를 보다 쉽게 접하고 이해하기 위한 발판을 마련하는 것을 목적으로 한다. 전 세계인들이 공감하며 즐기는 콘텐츠가 된 저패니메이션을 텍스트로 삼음으로써 보다 친근하고 쉽게 일본 문화와 사회에 대해 이해하고 접근할 수 있는 기초를 다지는 것이다.,20.0,40.0,40.0,0.0,0.0,0.0,0.0,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,한울304,"(1:3),(1:4),(2:3),(2:4),(3:3),(3:4),(4:3),(4:4)",12.0,"20.0,40.0,40.0,0.0,0.0,0.0,0.0"
3.0,4.0,24.0,여름학기,글로벌문화와제2외국어,교선,초급일본어1,3.0,김희성,,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-1-3593-01,본 강좌는 일본어를 처음 배우는 학생들을 대상으로 하며 일본어의 문자체계와 발음을 익히고 말하기 듣기 쓰기 읽기 영역의 기초를 다지는 강좌이다. 나아가 일본문화와 일본사회에 대한 전반적인 지식을 얻고 이문화에 대한 이해와 관심을 넓힌다.,,"1. 일본어의 문자 체계와 발음을 익힌다. 
2. 일본어의 기초적인 어휘와 문법을 습득한다.
3. 일본어의 기초적인 표현문형을 학습하고 일상회화에 적용한다.
4. 일본 문화와 일본 사회에 대한 이해도를 높히고 관심을 키운다.",10.0,30.0,40.0,10.0,0.0,10.0,0.0,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,한울307,"(1:3),(1:4),(2:3),(2:4),(3:3),(3:4),(4:3),(4:4)",12.0,"10.0,30.0,40.0,10.0,0.0,10.0,0.0"
4.0,5.0,24.0,여름학기,예술과체육,교선,대중음악의역사,3.0,김철수,100.0,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-2-6948-01,"현재 지구상에 존제하는 대중음악은 그뿌리를 흑인음악에 두고 있다. 
19세기 후반 흑인음악이 어떻게 백인사회에 뿌리를 내리게 되었으며 어떠한 장르를 탄생시키고 발전해왔는지를 교육한다. 초기 Blues부터 R&B Rock & Roll Funk의 탄생 Beatles Fusion Hip-Hop 그리고 한국 트로트 부터 아이돌 음악까지 대중음악의 변천사와 그 효과를 학습한다.",,21세기 지식인으로서 갖추어야할 대중문화에 대한 이해를 돕고. 현대 음악산업의 흐름을 파악하여 음악이 단지 즐길거리가 아닌 하나의 학문이며 산업이라는 인식을 키운다.,30.0,30.0,40.0,0.0,0.0,0.0,0.0,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,미지정,(6:2),3.0,"30.0,30.0,40.0,0.0,0.0,0.0,0.0"
5.0,6.0,24.0,여름학기,예술과체육,교선,생활속의디자인,3.0,김문석,,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-1-5682-01,FIXED,,FIXED,20.0,40.0,40.0,0.0,0.0,0.0,0.0,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,한울310,"(1:4),(1:5),(2:4),(2:5),(3:4),(3:5),(4:4),(4:5)",12.0,"20.0,40.0,40.0,0.0,0.0,0.0,0.0"
6.0,7.0,24.0,여름학기,수학,교선,공학수학1,3.0,장정환,,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-2-4969-01,전반적인 공학관련 전공과목을 이수하기 위한 기초 전공과목으로서 여러 형태의 미분방정식들과 행렬 및 행렬식이 어떻게 응용되는지를 예를 들어 학습한다. 세부적으로 1계 상미분방정식의 소개 및 해법 선형상미분방정식의 소개 및 해법 Laplace 변화의 소개 및 미분방정식으로의 적용방법 멱급수에 의한 미분방정식 해법 행렬 등의 개념에 대하여 학습한다.,,"1. 자연 과학 및 공학을 전공할 때 필요한 기초적인 수학적 이론과 배경을 습득해 이를 응용할 수 있는 능력을 배양. 
2. 미분 적분에 대한 기초 지식을 지니고 있는 공학을 전공하는 학생들에게 전공 분야에 필수적인 수학의 기초 지식을 습득하게 하고 이들을 이용하여 전공 분야의 실제 문제들을 인식하며 이를 공식화하고 해결할 수 있는 능력을 배양.",10.0,40.0,40.0,10.0,0.0,0.0,0.0,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,비마211,"(1:1),(1:2),(2:1),(2:2),(3:1),(3:2),(4:1),(4:2)",12.0,"10.0,40.0,40.0,10.0,0.0,0.0,0.0"
7.0,8.0,24.0,여름학기,수학,교선,공학수학1,3.0,최현옥,,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-2-4969-02,전반적인 공학관련 전공과목을 이수하기 위한 기초 전공과목으로서 여러 형태의 미분방정식들과 행렬 및 행렬식이 어떻게 응용되는지를 예를 들어 학습한다. 세부적으로 1계 상미분방정식의 소개 및 해법 선형상미분방정식의 소개 및 해법 Laplace 변화의 소개 및 미분방정식으로의 적용방법 멱급수에 의한 미분방정식 해법 행렬 등의 개념에 대하여 학습한다.,,1. 1. 자연 과학 및 공학을 전공할 때 필요한 기초적인 수학적 이론과 배경을 습득해 이를 응용할 수 있는 능력을 배양2. 미분 적분에 대한 기초지식을 지니고 있는 공학을 전공하는 학생들에게 전공분야에 필수적인 수학의 기초지식을 습득하게 하고 이들을 이용하여 전공분야의 실제문제들을 인식하며 이를 공식화하고 해결할 수 있는 능력을 배양,10.0,40.0,40.0,10.0,0.0,0.0,0.0,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,비마211,"(1:5),(1:6),(2:5),(2:6),(3:5),(3:6),(4:5),(4:6)",12.0,"10.0,40.0,40.0,10.0,0.0,0.0,0.0"
8.0,9.0,24.0,여름학기,수학,교선,공학수학2,3.0,윤미,,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-2-4970-01,응용분야에서 자주 발생하는 편미분 방정식과 광범위하게 응용되는 복소함수에 대해서 강의한다. 먼저 편미분 방정식에서의 변수 분리법을 강의 한 후 라플라스 변환 푸리에 변환을 이용하여 그 해를 구하는 방법을 익히고 그에 관련된 수학적 이론과 개념을 강의한다. 또한 복소함수론에서는 복소 해석함수 코시 리만 방정식에 대해서 강의하고 복소 적분 코시의 복소 적분등을 다룬다.,,"1. 자연 과학 및 공학을 전공할 때 필요한 기초적인 수학적 이론과 배경을 습득해 이를 응용할 수 있는 능력을 배양
 2.미분 적분에 대한 기초지식을 지니고 있는 공학을 전공하는 학생들에게 수학적 지식을 습득하게 하고 이들을 이용하여 전공분야의 실제문제들을 인식하며 이를 공식화하고 해결할 수 있는 능력을 배양
학습성과",10.0,40.0,40.0,10.0,0.0,0.0,0.0,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,비마409,"(1:3),(1:4),(2:3),(2:4),(3:3),(3:4),(4:3),(4:4)",12.0,"10.0,40.0,40.0,10.0,0.0,0.0,0.0"
9.0,10.0,24.0,여름학기,수학,교선,공학수학2,3.0,안소영,,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,L1,L2,L3,V1,V2,V3,V4",,,0000-2-4970-02,응용분야에서 자주 발생하는 편미분 방정식과 광범위하게 응용되는 복소함수에 대해서 강의한다. 먼저 편미분 방정식에서의 변수 분리법을 강의 한 후 라플라스 변환 푸리에 변환을 이용하여 그 해를 구하는 방법을 익히고 그에 관련된 수학적 이론과 개념을 강의한다. 또한 복소함수론에서는 복소 해석함수 코시 리만 방정식에 대해서 강의하고 복소 적분 코시의 복소 적분등을 다룬다.,,"1. 자연 과학 및 공학을 전공할 때 필요한 기초적인 수학적 이론과 배경을 습득해 이를 응용할 수 있는 능력을 배양
 2.미분 적분에 대한 기초지식을 지니고 있는 공학을 전공하는 학생들에게 수학적 지식을 습득하게 하고 이들을 이용하여 전공분야의 실제문제들을 인식하며 이를 공식화하고 해결할 수 있는 능력을 배양
학습성과",10.0,40.0,40.0,10.0,0.0,0.0,0.0,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,uncheck,비마409,"(1:5),(1:6),(2:5),(2:6),(3:5),(3:6),(4:5),(4:6)",12.0,"10.0,40.0,40.0,10.0,0.0,0.0,0.0"
