Unnamed: 0,학정번호,과목명,분반,수강가능한 학과,다전공생 수강불가,학년,연계,이수,학점,시수,담당교수,강의시간,강의유형,외국인재학생,국내재학생,선수과목,전공 인정 학과 ,참빛인재대학,체육특기자,기타
0,0000-1-8128-01,광운인되기,외국인학생 수강불가,"E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2,C1,C2,C3,C4,C5,C6,C7,C8,C9,J5,J6,J7,J8,A1,A2,K1,K2,K3,N1,N2,N3,N4,N5,P1,B1,B2,B3,B4,B5,B6,R1,R2,R3,R4,R5,M1,M2,S1,S2,S3,S3,L1,L2,L3,V1,V2,V3,V4",,,Null,교필,1,1,김정권,0,"원격수업100,융합강의 1학기 또는 2학기 이수",False,True,,,,,
1,0000-1-8128-02,광운인되기,외국인만 수강가능,,,,Null,교선,1,1,한재현,(5:2),외국인전용,True,False,,,,,
2,7000-1-3362-01,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,고현아,"(1:1),(3:2)",Null,,,,,,,
3,7000-1-3362-02,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,신동선,"(1:2),(3:1)",Null,,,,,,,
4,7000-1-3362-03,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,조성은,"(1:3),(3:4)",Null,,,,,,,
5,7000-1-3362-04,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,고현아,"(1:4),(3:3)",Null,,,,,,,
6,7000-1-3362-05,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,유수진,"(1:5),(3:6)",Null,,,,,,,
7,7000-1-3362-06,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,손영희,"(1:6),(3:5)",Null,,,,,,,
8,7000-1-3362-07,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,김은주,"(2:1),(4:2)",Null,,,,,,,
9,7000-1-3362-08,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,박소현,"(2:2),(4:1)",Null,,,,,,,
10,7000-1-3362-09,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,정관희,"(2:3),(4:4)",Null,,,,,,,
11,7000-1-3362-10,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,조윤주,"(2:4),(4:3)",Null,,,,,,,
12,7000-1-3362-11,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,강희원,"(2:5),(4:6)",Null,,,,,,,
13,7000-1-3362-12,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,김경옥,"(2:6),(4:5)",Null,,,,,,,
14,7000-1-3362-13,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,김지희,"(5:1),(5:2)",Null,,,,,,,
15,7000-1-3362-14,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,목승혜,"(5:3),(5:4)",Null,,,,,,,
16,7000-1-3362-15,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,장미정,"(5:5),(5:6)",Null,,,,,,,
17,7000-1-3362-16,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,김연정,"(1:3),(3:4)",Null,,,,,,,
18,7000-1-3362-17,대학영어,"전자정보 공과대학 공통(E1~E8,J1~J4, T1~T2)","E1,E2,E3,E4,E5,E6,E7,E8,J1,J2,J3,J4,T1,T2",,,Null,교필,3,3,Null,"(1:4),(3:3)",Null,,,,,,,
19,6000-1-3362-01,대학영어,"자연과학대학 공통 (N1~N5,P1)","N1,N2,N3,N4,N5,P1",,,Null,교필,3,3,최정윤,"(1:6),(3:5)",Null,,,,,,,
20,6000-1-3362-02,대학영어,"자연과학대학 공통 (N1~N5,P1)","N1,N2,N3,N4,N5,P1",,,Null,교필,3,3,이종국,"(2:4),(4:3)",Null,,,,,,,
21,6000-1-3362-03,대학영어,"자연과학대학 공통 (N1~N5,P1)","N1,N2,N3,N4,N5,P1",,,Null,교필,3,3,박용준,"(2:5),(4:6)",Null,,,,,,,
22,6000-1-3362-04,대학영어,"자연과학대학 공통 (N1~N5,P1)","N1,N2,N3,N4,N5,P1",,,Null,교필,3,3,조혜경,"(5:1),(5:2)",Null,,,,,,,
23,6000-1-3362-05,대학영어,"자연과학대학 공통 (N1~N5,P1)","N1,N2,N3,N4,N5,P1",,,Null,교필,3,3,고현아,"(5:3),(5:4)",Null,,,,,,,
24,6000-1-3362-06,대학영어,"자연과학대학 공통 (N1~N5,P1)","N1,N2,N3,N4,N5,P1",,,Null,교필,3,3,김보식,"(5:5),(5:6)",Null,,,,,,,
25,F000-1-3362-01,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,Null,"(1:4),(3:3)",Null,,,,,,,
26,F000-1-3362-02,대학영어,"정책법학대학 공통 (S1~S3,L1~L3)","S1,S2,S3,L1,L2,L3",,,Null,교필,3,3,Null,"(1:5),(3:6)",Null,,,,,,,
